expt,site,subject,threshold
1,1,1,0.157746402689317
1,1,2,0.152723717716888
1,1,3,0.120366186872668
1,1,4,0.323486032263505
1,1,5,0.175406191687812
1,1,6,0.185768376089304
1,1,7,0.133532921398915
1,1,8,0.141427523740852
1,1,9,0.272897514759321
1,1,10,0.19587180977018
1,1,11,0.156708914037603
1,1,12,0.178602122693456
1,1,13,0.183062067866104
1,1,14,0.175674603873685
1,1,15,0.162268413065506
1,0,16,0.188362587638775
1,0,17,0.22741533090478
1,0,18,0.153043312408671
1,0,19,0.14520262964509
1,0,20,1.30974016602271
1,0,21,0.144169145605117
1,0,22,0.348624314230891
1,0,23,0.150448314543473
1,0,24,0.180812423410753
1,0,25,0.252059908521008
1,0,26,1.12886416163184
1,0,27,0.0963128454760615
1,0,28,0.109851189220469
1,0,29,0.210936443655118
1,0,30,0.243475265810053
2,1,31,0.4122
2,1,32,0.4122
2,1,33,0.4122
2,1,34,0.4122
2,1,35,0.4122
2,1,36,0.4122
2,1,37,0.4122
2,1,38,0.4122
2,1,39,0.4122
2,1,40,0.4122
2,1,41,0.4122
2,1,42,0.4122
2,1,43,0.4122
2,1,44,0.4122
2,0,45,0.4122
2,0,46,0.4122
2,0,47,0.4122
2,0,48,0.4122
2,0,49,0.4122
2,0,50,0.4122
2,0,51,0.4122
2,0,52,0.4122
2,0,53,0.4122
2,0,54,0.4122
2,0,55,0.4122
2,0,56,0.4122
2,0,57,0.4122
2,0,58,0.4122
2,0,59,0.4122
3,1,60,0.140361869387688
3,1,61,0.162435598040551
3,1,62,0.151397550222748
3,1,63,0.185491288729674
3,1,64,0.173519384580477
3,1,65,0.189548774256045
3,1,66,0.171615338860563
3,1,67,0.153146707655749
3,1,68,0.194222158172515
3,1,69,0.104665603116944
3,1,70,0.224345664533787
3,1,71,0.226811220615293
3,1,72,0.174635182952753
3,1,73,0.193417582189989
3,1,74,0.159633796189006
3,0,75,0.167371083625194
3,0,76,0.105293738609946
3,0,77,0.148537290495126
3,0,78,0.177680787238099
3,0,79,0.232599529097458
3,0,80,0.165805170605809
3,0,81,0.147569847738247
3,0,82,0.220251719837755
3,0,83,0.140014108635103
3,0,84,0.187578695306827
3,0,85,0.160735293022888
3,0,86,0.167691534750047
3,0,87,0.187961112371367
3,0,88,0.162162138238737
3,0,89,0.179443708263027
4,1,90,0.158113883008419
4,1,91,0.158113883008419
4,1,92,0.158113883008419
4,1,93,0.158113883008419
4,1,94,0.158113883008419
4,1,95,0.158113883008419
4,1,96,0.158113883008419
4,1,97,0.158113883008419
4,1,98,0.158113883008419
4,1,99,0.158113883008419
4,1,100,0.158113883008419
4,1,101,0.158113883008419
4,1,102,0.158113883008419
4,1,103,0.158113883008419
4,1,104,0.158113883008419
4,0,105,0.158113883008419
4,0,106,0.158113883008419
4,0,107,0.158113883008419
4,0,108,0.158113883008419
4,0,109,0.158113883008419
4,0,110,0.158113883008419
4,0,111,0.158113883008419
4,0,112,0.158113883008419
4,0,113,0.158113883008419
4,0,114,0.158113883008419
4,0,115,0.158113883008419
4,0,116,0.158113883008419
4,0,117,0.158113883008419
4,0,118,0.158113883008419
4,0,119,0.158113883008419
